"","farmer_num","village","treatment","survey","temp_c","humidity_percent","ground_cover_percent","ose_num","att_mil","yield","datetime","ose_num_adj","att_mil_adj"
"136","17","Gossas","fertilized","s4",NA,NA,NA,NA,NA,495,NA,NA,NA
"137","18","Gossas","control","s1",31,71,40,31,NA,NA,2019-09-05 12:00:00,26,NA
"138","18","Gossas","control","s2",32.5,62.6,30,2,NA,NA,2019-09-22 09:48:00,2,NA
"139","18","Gossas","control","s3",36.6,54,30,10,0,NA,2019-10-11 10:50:00,8,0
"140","18","Gossas","control","s4",NA,NA,NA,NA,NA,324,NA,NA,NA
"141","18","Gossas","fertilized","s1",31,71,50,34,0.05,NA,2019-09-05 12:15:00,29,0.0425
"142","18","Gossas","fertilized","s2",32.5,62.6,55,6,NA,NA,2019-09-22 09:48:00,5,NA
"143","18","Gossas","fertilized","s3",34.2,68,55,5,NA,NA,2019-10-11 11:39:00,4,NA
"144","18","Gossas","fertilized","s4",NA,NA,NA,NA,NA,509,NA,NA,NA
"145","19","Gossas","control","s1",34.5,62,65,23,0.05,NA,2019-09-04 10:08:00,20,0.0425
"146","19","Gossas","control","s2",35.7,60.2,70,21,NA,NA,2019-09-22 12:25:00,18,NA
"147","19","Gossas","control","s3",35.7,60.2,70,28,0.05,NA,2019-10-10 12:25:00,24,0.0425
"148","19","Gossas","control","s4",NA,NA,NA,NA,NA,558,NA,NA,NA
"149","19","Gossas","fertilized","s1",34.5,62,45,37,0.1,NA,2019-09-04 17:30:00,31,0.085
"150","19","Gossas","fertilized","s2",35.7,60.2,65,21,NA,NA,2019-09-22 12:10:00,18,NA
"151","19","Gossas","fertilized","s3",34.2,68,65,21,0.05,NA,2019-10-10 12:45:00,18,0.0425
"152","19","Gossas","fertilized","s4",NA,NA,NA,NA,NA,1314,NA,NA,NA
"153","20","Gossas","control","s1",33.8,60,20,15,NA,NA,2019-09-03 17:30:00,13,NA
"154","20","Gossas","control","s2",32.7,75.4,20,14,NA,NA,2019-09-22 18:35:00,12,NA
"155","20","Gossas","control","s3",33.5,64.7,20,16,NA,NA,2019-10-09 17:26:00,14,NA
"156","20","Gossas","control","s4",NA,NA,NA,NA,NA,626,NA,NA,NA
"157","20","Gossas","fertilized","s1",33.8,60,50,13,NA,NA,2019-09-03 17:30:00,11,NA
"158","20","Gossas","fertilized","s2",32.8,73,50,16,NA,NA,2019-09-22 18:50:00,14,NA
"159","20","Gossas","fertilized","s3",33.5,64.7,50,2,NA,NA,2019-10-09 18:04:00,2,NA
"160","20","Gossas","fertilized","s4",NA,NA,NA,NA,NA,598,NA,NA,NA
"161","21","Gossas","control","s1",32,35,65,53,NA,NA,2019-09-02 18:00:00,45,NA
"162","21","Gossas","control","s2",33.3,67.6,65,17,NA,NA,2019-09-22 18:00:00,14,NA
"163","21","Gossas","control","s3",33.7,66,65,15,NA,NA,2019-10-09 17:14:00,13,NA
"164","21","Gossas","control","s4",NA,NA,NA,NA,NA,776,NA,NA,NA
"165","21","Gossas","fertilized","s1",32,35,30,59,NA,NA,2019-09-02 18:00:00,50,NA
"166","21","Gossas","fertilized","s2",33.3,67.5,65,12,NA,NA,2019-09-22 18:20:00,10,NA
"167","21","Gossas","fertilized","s3",33.7,66,65,10,NA,NA,2019-10-09 17:06:00,8,NA
"168","21","Gossas","fertilized","s4",NA,NA,NA,NA,NA,1824,NA,NA,NA
"169","22","Gossas","control","s1",28.4,75.1,20,32,NA,NA,2019-09-04 18:30:00,27,NA
"170","22","Gossas","control","s2",33,68.2,20,13,NA,NA,2019-09-22 17:59:00,11,NA
"171","22","Gossas","control","s3",33.7,66,20,3,NA,NA,2019-10-09 15:10:00,3,NA
"172","22","Gossas","control","s4",NA,NA,NA,NA,NA,279,NA,NA,NA
"173","22","Gossas","fertilized","s1",28.4,75.1,30,41,NA,NA,2019-09-04 18:30:00,35,NA
"174","22","Gossas","fertilized","s2",33,68,30,19,NA,NA,2019-09-22 17:59:00,16,NA
"175","22","Gossas","fertilized","s3",33.7,66,30,3,NA,NA,2019-10-09 15:21:00,3,NA
"176","22","Gossas","fertilized","s4",NA,NA,NA,NA,NA,558,NA,NA,NA
"177","23","Gossas","control","s1",31,68.3,45,35,NA,NA,2019-09-02 17:30:00,30,NA
"178","23","Gossas","control","s2",36,55,45,33,0.15,NA,2019-09-21 11:30:00,28,0.1275
"179","23","Gossas","control","s3",33,64,45,7,NA,NA,2019-10-10 08:10:00,6,NA
"180","23","Gossas","control","s4",NA,NA,NA,NA,NA,450,NA,NA,NA
"181","23","Gossas","fertilized","s1",31,68.3,50,40,NA,NA,2019-09-02 17:30:00,34,NA
"182","23","Gossas","fertilized","s2",36,55,50,22,0.05,NA,2019-09-21 11:30:00,19,0.0425
"183","23","Gossas","fertilized","s3",33,64,50,7,NA,NA,2019-10-10 08:18:00,6,NA
"184","23","Gossas","fertilized","s4",NA,NA,NA,NA,NA,950,NA,NA,NA
"185","24","Gossas","control","s1",36,56,30,21,NA,NA,2019-09-02 18:50:00,18,NA
"186","24","Gossas","control","s2",37.5,53.6,35,6,NA,NA,2019-09-22 16:20:00,5,NA
"187","24","Gossas","control","s3",34.1,61,35,18,NA,NA,2019-10-09 16:13:00,15,NA
"188","24","Gossas","control","s4",NA,NA,NA,NA,NA,80,NA,NA,NA
"189","24","Gossas","fertilized","s1",36,56,35,37,NA,NA,2019-09-02 18:50:00,31,NA
"190","24","Gossas","fertilized","s2",37.5,53.6,35,12,NA,NA,2019-09-22 16:13:00,10,NA
"191","24","Gossas","fertilized","s3",34.1,61,35,10,NA,NA,2019-10-09 16:00:00,8,NA
"192","24","Gossas","fertilized","s4",NA,NA,NA,NA,NA,546,NA,NA,NA
"193","25","Gossas","control","s1",35,57.2,60,24,NA,NA,2019-09-04 12:20:00,20,NA
"194","25","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","25","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","25","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","25","Gossas","fertilized","s1",35,57.2,65,27,NA,NA,2019-09-04 12:20:00,23,NA
"198","25","Gossas","fertilized","s2",35.4,58,65,18,NA,NA,2019-09-23 12:20:00,15,NA
"199","25","Gossas","fertilized","s3",34.8,67,65,22,NA,NA,2019-10-10 16:23:00,19,NA
"200","25","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","26","Gossas","control","s1",38,73.7,40,34,0.1,NA,2019-09-05 10:45:00,29,0.085
"202","26","Gossas","control","s2",33.6,71,40,33,0.1,NA,2019-09-23 08:50:00,28,0.085
"203","26","Gossas","control","s3",35.7,68.9,40,30,0.1,NA,2019-10-12 17:24:00,26,0.085
"204","26","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","26","Gossas","fertilized","s1",38,73.7,65,38,0.1,NA,2019-09-05 10:45:00,32,0.085
"206","26","Gossas","fertilized","s2",33.6,71,40,13,NA,NA,2019-09-23 08:54:00,11,NA
"207","26","Gossas","fertilized","s3",35.7,68.9,40,17,0.05,NA,2019-10-12 17:13:00,14,0.0425
"208","26","Gossas","fertilized","s4",NA,NA,NA,NA,NA,285,NA,NA,NA
"209","27","Gossas","control","s1",35,54,30,21,NA,NA,2019-09-04 13:20:00,18,NA
"210","27","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","27","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","27","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","27","Gossas","fertilized","s1",34.8,56,35,13,NA,NA,2019-09-04 13:48:00,11,NA
"214","27","Gossas","fertilized","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","27","Gossas","fertilized","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","27","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","28","Gossas","control","s1",34,59.3,40,18,NA,NA,2019-09-02 19:00:00,15,NA
"218","28","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","28","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","28","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","28","Gossas","fertilized","s1",34,59.3,45,14,NA,NA,2019-09-02 19:00:00,12,NA
"222","28","Gossas","fertilized","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","28","Gossas","fertilized","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","28","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","29","Gossas","control","s1",36.7,54,50,44,0.1,NA,2019-09-04 10:55:00,37,0.085
"226","29","Gossas","control","s2",34,65,50,35,NA,NA,2019-09-23 10:35:00,30,NA
"227","29","Gossas","control","s3",33.1,68,50,25,0.05,NA,2019-10-10 16:58:00,21,0.0425
"228","29","Gossas","control","s4",NA,NA,NA,NA,NA,80,NA,NA,NA
"229","29","Gossas","fertilized","s1",36.7,54,45,32,NA,NA,2019-09-04 10:55:00,27,NA
"230","29","Gossas","fertilized","s2",34.6,64,50,3,NA,NA,2019-09-23 10:42:00,3,NA
"231","29","Gossas","fertilized","s3",34.1,68,50,12,0,NA,2019-10-10 17:18:00,10,0
"232","29","Gossas","fertilized","s4",NA,NA,NA,NA,NA,360,NA,NA,NA
"233","30","Gossas","control","s1",33.2,57,30,29,NA,NA,2019-09-04 09:52:00,25,NA
"234","30","Gossas","control","s2",32.5,73.2,30,7,NA,NA,2019-09-22 11:40:00,6,NA
"235","30","Gossas","control","s3",39.4,69.8,30,35,0.1,NA,2019-10-11 12:21:00,30,0.085
"236","30","Gossas","control","s4",NA,NA,NA,NA,NA,243,NA,NA,NA
"237","30","Gossas","fertilized","s1",33.2,57,35,45,NA,NA,2019-09-04 09:52:00,38,NA
"238","30","Gossas","fertilized","s2",32.5,73.2,45,4,NA,NA,2019-09-22 11:45:00,3,NA
"239","30","Gossas","fertilized","s3",39.4,69.8,45,14,NA,NA,2019-10-11 12:54:00,12,NA
"240","30","Gossas","fertilized","s4",NA,NA,NA,NA,NA,534,NA,NA,NA
"241","31","Gossas","control","s1",33.6,60.7,45,39,NA,NA,2019-09-03 18:35:00,33,NA
"242","31","Gossas","control","s2",35,59.3,45,15,NA,NA,2019-09-21 18:10:00,13,NA
"243","31","Gossas","control","s3",36.8,71.1,45,24,NA,NA,2019-10-11 13:18:00,20,NA
"244","31","Gossas","control","s4",NA,NA,NA,NA,NA,203,NA,NA,NA
"245","31","Gossas","fertilized","s1",33.6,60.7,50,35,NA,NA,2019-09-03 18:35:00,30,NA
"246","31","Gossas","fertilized","s2",34.1,61.5,50,9,NA,NA,2019-09-21 18:20:00,8,NA
"247","31","Gossas","fertilized","s3",36.8,70.1,50,9,NA,NA,2019-10-11 13:27:00,8,NA
"248","31","Gossas","fertilized","s4",NA,NA,NA,NA,NA,475,NA,NA,NA
"249","32","Gossas","control","s1",34.2,60.2,50,51,NA,NA,2019-09-03 12:25:00,43,NA
"250","32","Gossas","control","s2",32.6,64.5,98,25,0.15,NA,2019-09-22 09:16:00,21,0.1275
"251","32","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","32","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","32","Gossas","fertilized","s1",34.2,60.2,50,79,NA,NA,2019-09-03 12:55:00,67,NA
"254","32","Gossas","fertilized","s2",37,49.2,50,12,0.05,NA,2019-09-22 16:32:00,10,0.0425
"255","32","Gossas","fertilized","s3",35.3,67.8,50,24,NA,NA,2019-10-11 16:12:00,20,NA
"256","32","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","33","Gossas","control","s1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","33","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","33","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","33","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","33","Gossas","fertilized","s1",36.4,55.2,50,26,NA,NA,2019-09-04 11:20:00,22,NA
"262","33","Gossas","fertilized","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","33","Gossas","fertilized","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","33","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","34","Gossas","control","s1",28,83,45,23,NA,NA,2019-09-05 08:00:00,20,NA
"266","34","Gossas","control","s2",32.9,63.7,45,32,NA,NA,2019-09-22 09:32:00,27,NA
"267","34","Gossas","control","s3",34.6,68,45,47,NA,NA,2019-10-12 17:51:00,40,NA
"268","34","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","34","Gossas","fertilized","s1",28,83,30,54,NA,NA,2019-09-05 08:00:00,46,NA
"270","34","Gossas","fertilized","s2",32.9,63.7,40,9,NA,NA,2019-09-22 09:22:00,8,NA
"271","34","Gossas","fertilized","s3",34.6,68,40,23,NA,NA,2019-10-12 18:14:00,20,NA
"272","34","Gossas","fertilized","s4",NA,NA,NA,NA,NA,325,NA,NA,NA
"273","35","Gossas","control","s1",28,83,65,16,NA,NA,2019-09-05 08:28:00,14,NA
"274","35","Gossas","control","s2",33,62,35,21,0.05,NA,2019-09-23 10:21:00,18,0.0425
"275","35","Gossas","control","s3",33.6,68.4,35,29,NA,NA,2019-10-12 09:32:00,25,NA
"276","35","Gossas","control","s4",NA,NA,NA,NA,NA,140,NA,NA,NA
"277","35","Gossas","fertilized","s1",28,83,60,16,NA,NA,2019-09-05 08:28:00,14,NA
"278","35","Gossas","fertilized","s2",33.2,63,45,7,0.01,NA,2019-09-23 10:34:00,6,0.0085
"279","35","Gossas","fertilized","s3",33.6,68.4,45,18,NA,NA,2019-10-12 09:15:00,15,NA
"280","35","Gossas","fertilized","s4",NA,NA,NA,NA,NA,163,NA,NA,NA
"281","36","Gossas","control","s1",29,78.9,50,18,NA,NA,2019-09-05 09:00:00,15,NA
