system:index,date,day,location,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,month,total_precipitation,year,.geo
1_20190409,2019-04-09T00:00:00,9.0,Point1,312.71960098142125,304.86648802118805,297.33347941947375,4.0,4.0978193283081055E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190410,2019-04-10T00:00:00,10.0,Point1,311.8635929643039,304.6738575200274,297.9640392821324,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190411,2019-04-11T00:00:00,11.0,Point1,310.5985627268716,302.6965156940168,295.14966045269887,4.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190412,2019-04-12T00:00:00,12.0,Point1,308.5671897367532,301.07622532958453,293.94062527668723,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190413,2019-04-13T00:00:00,13.0,Point1,309.26661907757136,299.928011530245,291.2046979544806,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190414,2019-04-14T00:00:00,14.0,Point1,310.5105262522669,300.51305933647615,290.91626358349026,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190415,2019-04-15T00:00:00,15.0,Point1,311.2404207392947,301.7450839924968,293.53200788424783,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190416,2019-04-16T00:00:00,16.0,Point1,312.73907452813876,301.9722928104062,292.514005883788,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190417,2019-04-17T00:00:00,17.0,Point1,311.5163298545331,301.94433895333026,293.6809407123736,4.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190418,2019-04-18T00:00:00,18.0,Point1,311.3811832763589,302.37487662675323,293.86787601568034,4.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190419,2019-04-19T00:00:00,19.0,Point1,312.08373184133285,303.5144007264779,296.585392163953,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190420,2019-04-20T00:00:00,20.0,Point1,311.4863127178793,301.7777902494044,293.79646871116853,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190421,2019-04-21T00:00:00,21.0,Point1,308.48318700141454,300.01144791115274,292.4866551465431,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190422,2019-04-22T00:00:00,22.0,Point1,307.13834829564786,299.152877095774,291.93899757065105,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190423,2019-04-23T00:00:00,23.0,Point1,307.41901439483945,298.7991747084433,290.9293772078919,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190424,2019-04-24T00:00:00,24.0,Point1,309.7786785850806,300.422967262747,291.74369614857216,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190425,2019-04-25T00:00:00,25.0,Point1,312.05431604900156,303.00132702343933,294.8233082704077,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190426,2019-04-26T00:00:00,26.0,Point1,314.570897316142,304.82596535398744,296.4905425427591,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190427,2019-04-27T00:00:00,27.0,Point1,313.633380078354,305.6707085862914,298.4390020608542,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190428,2019-04-28T00:00:00,28.0,Point1,314.1647465538018,305.3537232834712,297.40015378319106,4.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190429,2019-04-29T00:00:00,29.0,Point1,314.37047061656494,305.43044611472584,297.89345146351764,4.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190430,2019-04-30T00:00:00,30.0,Point1,311.3279000008778,302.4882630611001,294.90508065841664,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190501,2019-05-01T00:00:00,1.0,Point1,306.882671273277,298.71852319704453,292.1036246793888,5.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190502,2019-05-02T00:00:00,2.0,Point1,306.6182072754861,298.63769263954725,291.8590520229194,5.0,4.0978193283081055E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190503,2019-05-03T00:00:00,3.0,Point1,306.17385641089356,298.2914493261333,291.43921058546334,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190504,2019-05-04T00:00:00,4.0,Point1,308.2327243196884,299.6376315298524,291.73724980475674,5.0,4.0978193283081055E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
